Name,Monoisotopic_mass,Formula
N-[(4-Bromophenyl)(perfluorobutyl)-?4-sulfanylidene]acetamide,462.9288013,C12H7BrF9NOS
"1,1,1,2,2,4,4,5,5,5-Decafluoro-3-pentanone",265.9789466,C5F10O
8:2 Fluorotelomer sulfonic acid,527.9687942,C10H5F17O3S
"n:2 fluorotelomer thio alkyl amido betaine-related, n=3",580.1065299,C17H21F13N2O3S
"4-Fluoro-N-(2-fluoro-3-{[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]carbamoyl}phenyl)-N-methyl-2-nitrobenzamide",607.1153599,C26H18F9N3O4
"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexyl 2-methylprop-2-enoate",368.0270397,C10H7F11O2
"H-substituted, di-ether-substituted perfluoroalkyl (linear) sulfonic acids, C7",463.9399387,C7H2F14O5S
"2,2,3,3,4,4,4-Heptafluoro-1-(morpholin-4-yl)butane-1-thione",299.021482,C8H8F7NOS
"double bond-, ether-substituted perfluoroalkyl (linear) carboyxlic acids, n=1",291.9781977,C6HF9O3
"1,1,1,2-Tetrafluoro-6-iodo-2-(trifluoromethyl)hexane",351.9558957,C7H8F7I
"Perfluoro(1,3-dipropoxycyclohexane)",631.951506,C12F24O2
"Trichloro(1,1,2,2,3,3,6,6,6-nonafluorohexyl)silane",379.9004135,C6H4Cl3F9Si
"1,1,1,2-Tetrafluoro-4-methyl-2-(trifluoromethyl)pentan-3-one",240.0385122,C7H7F7O
"Perfluoro(2,5,8,11,14-pentamethyl-3,6,9,12,15-pentaoxaoctadecanoic) acid",993.9163394,C18HF35O7
"3,5,6-Trichloroperfluorohexanoic acid",361.891438,C6HCl3F8O2
Flupoxam,460.0725444,C19H14ClF5N4O2
"1,1-Octanediol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-",415.9893523,C8H3F15O2
"N,N,N-Trimethyloctan-1-aminium pentadecafluorooctanoate",172.2065248,C11H26N
"p-[[4,4,5,5,5-pentafluoro-3-(pentafluoroethyl)-1,2,3-tris(trifluoromethyl)pent-1-enyl]oxy]-N-[3-(triethoxysilyl)propyl]benzenesulphonamide",857.0946706,C25H26F19NO6SSi
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=6, m=14",1236.334912,C40H57F25O14
"Potassium 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl sulfate",643.9573216,C12H5F21O4S
"4-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)sulfanyl]phenol",372.0230394,C12H9F9OS
Phenyltris((perfluorohexyl)ethyl)stannane,1237.972945,C30H17F39Sn
Perfluoroeicosyl iodide,1145.839004,C20F41I
"Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl phosphate",573.9837892,C11H8F17O5P
"5,5,6,6,7,7,8,8,8-Nonafluorooctanoic acid",306.0302333,C8H7F9O2
"1,1,1,2,2,3,3,4-Octafluoro-7,7-dimethyloct-4-ene",284.081126,C10H12F8
"1,1,1,3,3-Pentafluoro-3-methoxy-2-(trifluoromethyl)propane",232.0134403,C5H4F8O
"3-Ethenyl-1,1,2-trifluoro-2-(1,1,2,2-tetrafluoro-2-{1,1,2,2-tetrafluoro-2-[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]ethoxy}ethoxy)cyclobutane",567.9978663,C13H6F18O4
"n:2 fluorotelomer thioamido sulfonic acids, n=3",603.0418807,C15H18F13NO5S2
Perfluorohexadecane,837.9457088,C16F34
Pentadecafluorooctyl chloride,431.9398153,C8ClF15O
2-(N-Butylperfluorooctanesulfonamido)ethyl acrylate,653.0528581,C17H16F17NO4S
"Diethyl (3,3,4,4,5,5,6,6,6-nonafluorohexyl)phosphonate",384.0536846,C10H14F9O3P
"1,1,1,2,2,3,3,4,5,5,5-Undecafluoro-4-iodopentane",395.8869082,C5F11I
N-Butyl-N-(2-hydroxyethyl)perfluoro-1-octanesulfonamide,599.0422934,C14H14F17NO3S
"2-Chloro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)pyridine",280.9842242,C8H3ClF7N
Fluorocarbon FC 70,820.9503796,C15F33N
"Butanamide, N,N'-(1,1'-biphenyl)-4,4'-diylbis(2,2,3,3,4,4,4-heptafluoro-",576.0518724,C20H10F14N2O2
"2-{[4-(Perfluorobutoxy)pyridin-2-yl]methanesulfinyl}-1H-thieno[3,4-d]imidazole",461.0102655,C15H10F7N3O2S2
"Diammonium 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,14,14,14-tetracosafluoro-13-(trifluoromethyl)tetradecyl phosphate",793.9572566,C15H6F27O4P
"ether-substituted perfluoroalkyl (linear) caborxylic acids_ii, n=10",629.9558425,C12HF23O3
